problem,parameter,value,fitnessMean,fitnessStd,timeMean,timeStd,convergenceGenMean,totalGenerationsMean
Knapsack,crossoverType,onePoint,1586,0.0,0.15698941000002833,0.007196227379075019,13.3,54.3
Knapsack,crossoverType,twoPoint,1586,0.0,0.16557107000000998,0.006098877857453924,12.5,53.5
Knapsack,crossoverType,uniform,1586,0.0,0.15418239999994512,0.0068748029802883385,10,51
Knapsack,mutationProb,0.01,1586,0.0,0.15591491999998652,0.007111053811056251,10.4,51.4
Knapsack,mutationProb,0.05,1586,0.0,0.16005028000004132,0.010852325305095454,13.5,54.5
Knapsack,mutationProb,0.1,1582.3,7.430343195303969,0.20690127000002576,0.054237543103621215,32.5,73.5
Knapsack,mutationProb,0.2,1522.1,26.602443496791793,0.21045176000006904,0.06693810192801164,40.3,81.3
Knapsack,mutationType,bitFlip,1586,0.0,0.15957395999996607,0.00982656788283567,14.2,55.2
Knapsack,mutationType,swap,1586,0.0,0.15830223999998908,0.004489977966396407,10.5,51.5
Knapsack,elitismNum,1,1586,0.0,0.16251077000001715,0.007651778609321625,14.9,55.9
Knapsack,elitismNum,5,1586,0.0,0.15687650999998368,0.009021502782029596,13,54
Knapsack,elitismNum,10,1586,0.0,0.15268018000001576,0.0021857374969647906,11.7,52.7
Knapsack,elitismNum,20,1586,0.0,0.15752280999997764,0.0041039303701215085,12.8,53.8
Knapsack,generations,50,1586,0.0,0.14399532000002183,0.0031617190845783637,12.2,49.7
Knapsack,generations,150,1586,0.0,0.1567578899999944,0.009339618369383598,13.4,54.4
Knapsack,generations,300,1586,0.0,0.16227784000000156,0.00978000162021033,13.9,54.9
Knapsack,generations,600,1586,0.0,0.16100168000000395,0.009793178823257961,13.8,54.8
Knapsack,patience,10,1586,0.0,0.06834108999992168,0.009489331689883368,13.1,24.1
Knapsack,patience,40,1586,0.0,0.15540070000001832,0.005327036267745368,12.2,53.2
Knapsack,patience,100,1586,0.0,0.33849124000005304,0.008568756358644158,13.6,114.6
Knapsack,patience,200,1586,0.0,0.6326781999999866,0.006030614658367585,14,215
