GA comparative study
Each GA configuration repeated 10 times (mean +/- std shown)

--- SubsetSum: parameter sweep ---
BinPacking   | mutationProb     = 0.01       | fitness=1.073+/-0.003 | gen=34.2/75.2 | time=0.184s+/-0.055s
BinPacking   | mutationProb     = 0.05       | fitness=1.074+/-0.003 | gen=37.3/78.3 | time=0.199s+/-0.021s
BinPacking   | mutationProb     = 0.1        | fitness=1.067+/-0.005 | gen=28.9/69.9 | time=0.188s+/-0.052s
BinPacking   | mutationProb     = 0.2        | fitness=1.064+/-0.003 | gen=35.2/76.2 | time=0.214s+/-0.055s
BinPacking   | mutationType     = bitFlip    | fitness=1.074+/-0.003 | gen=43.9/84.9 | time=0.219s+/-0.040s
BinPacking   | mutationType     = swap       | fitness=1.074+/-0.004 | gen=36.8/77.8 | time=0.202s+/-0.054s
BinPacking   | elitismNum       = 1          | fitness=1.073+/-0.002 | gen=53.0/94.0 | time=0.239s+/-0.068s
BinPacking   | elitismNum       = 5          | fitness=1.076+/-0.004 | gen=37.2/78.2 | time=0.199s+/-0.018s
BinPacking   | elitismNum       = 10         | fitness=1.073+/-0.003 | gen=28.3/69.3 | time=0.176s+/-0.023s
BinPacking   | elitismNum       = 20         | fitness=1.075+/-0.003 | gen=32.2/73.2 | time=0.186s+/-0.025s
BinPacking   | generations      = 50         | fitness=1.073+/-0.003 | gen=32.5/50.0 | time=0.131s+/-0.008s
BinPacking   | generations      = 150        | fitness=1.072+/-0.004 | gen=39.6/80.6 | time=0.208s+/-0.038s
BinPacking   | generations      = 300        | fitness=1.073+/-0.004 | gen=34.6/75.6 | time=0.200s+/-0.054s
BinPacking   | generations      = 600        | fitness=1.073+/-0.002 | gen=25.8/66.8 | time=0.172s+/-0.028s
BinPacking   | patience         = 10         | fitness=1.066+/-0.005 | gen=16.0/27.0 | time=0.070s+/-0.021s
BinPacking   | patience         = 40         | fitness=1.075+/-0.003 | gen=42.9/83.9 | time=0.213s+/-0.032s
BinPacking   | patience         = 100        | fitness=1.074+/-0.003 | gen=47.3/148.3 | time=0.372s+/-0.060s
BinPacking   | patience         = 200        | fitness=1.076+/-0.003 | gen=93.4/260.5 | time=0.677s+/-0.100s

--- Knapsack: parameter sweep ---
Knapsack     | chromosomSize    = 10         | fitness=356.000+/-0.000 | gen=1.7/42.7 | time=0.078s+/-0.008s
Knapsack     | chromosomSize    = 20         | fitness=1458.000+/-0.000 | gen=6.2/47.2 | time=0.118s+/-0.009s
Knapsack     | chromosomSize    = 40         | fitness=2144.300+/-3.662 | gen=34.8/75.8 | time=0.273s+/-0.043s
Knapsack     | chromosomSize    = 60         | fitness=3001.000+/-8.854 | gen=79.5/120.5 | time=0.579s+/-0.150s
Knapsack     | populationSize   = 30         | fitness=1586.000+/-0.000 | gen=19.8/60.8 | time=0.036s+/-0.004s
Knapsack     | populationSize   = 100        | fitness=1586.000+/-0.000 | gen=15.3/56.3 | time=0.108s+/-0.004s
Knapsack     | populationSize   = 300        | fitness=1586.000+/-0.000 | gen=12.1/53.1 | time=0.313s+/-0.014s
Knapsack     | populationSize   = 600        | fitness=1586.000+/-0.000 | gen=11.5/52.5 | time=0.619s+/-0.024s
Knapsack     | initMethod       = random     | fitness=1586.000+/-0.000 | gen=13.1/54.1 | time=0.156s+/-0.007s
Knapsack     | initMethod       = heuristic  | fitness=1586.000+/-0.000 | gen=0.0/41.0 | time=0.119s+/-0.001s
Knapsack     | selectionType    = roulette   | fitness=1581.900+/-8.203 | gen=58.7/99.7 | time=0.506s+/-0.126s
Knapsack     | selectionType    = ranking    | fitness=1586.000+/-0.000 | gen=20.7/61.7 | time=0.473s+/-0.057s
Knapsack     | selectionType    = tournament | fitness=1586.000+/-0.000 | gen=11.8/52.8 | time=0.157s+/-0.007s
Knapsack     | tournamentSize   = 2          | fitness=1586.000+/-0.000 | gen=21.7/62.7 | time=0.177s+/-0.018s
Knapsack     | tournamentSize   = 5          | fitness=1586.000+/-0.000 | gen=9.3/50.3 | time=0.155s+/-0.005s
Knapsack     | tournamentSize   = 10         | fitness=1586.000+/-0.000 | gen=7.6/48.6 | time=0.163s+/-0.004s
Knapsack     | tournamentSize   = 20         | fitness=1586.000+/-0.000 | gen=6.1/47.1 | time=0.181s+/-0.005s
Knapsack     | crossoverProb    = 0.5        | fitness=1586.000+/-0.000 | gen=15.1/56.1 | time=0.170s+/-0.011s
Knapsack     | crossoverProb    = 0.7        | fitness=1586.000+/-0.000 | gen=13.6/54.6 | time=0.158s+/-0.006s
Knapsack     | crossoverProb    = 0.9        | fitness=1586.000+/-0.000 | gen=10.8/51.8 | time=0.145s+/-0.010s
Knapsack     | crossoverType    = onePoint   | fitness=1586.000+/-0.000 | gen=13.3/54.3 | time=0.157s+/-0.007s
Knapsack     | crossoverType    = twoPoint   | fitness=1586.000+/-0.000 | gen=12.5/53.5 | time=0.166s+/-0.006s
Knapsack     | crossoverType    = uniform    | fitness=1586.000+/-0.000 | gen=10.0/51.0 | time=0.154s+/-0.007s
Knapsack     | mutationProb     = 0.01       | fitness=1586.000+/-0.000 | gen=10.4/51.4 | time=0.156s+/-0.007s
Knapsack     | mutationProb     = 0.05       | fitness=1586.000+/-0.000 | gen=13.5/54.5 | time=0.160s+/-0.011s
Knapsack     | mutationProb     = 0.1        | fitness=1582.300+/-7.430 | gen=32.5/73.5 | time=0.207s+/-0.054s
Knapsack     | mutationProb     = 0.2        | fitness=1522.100+/-26.602 | gen=40.3/81.3 | time=0.210s+/-0.067s
Knapsack     | mutationType     = bitFlip    | fitness=1586.000+/-0.000 | gen=14.2/55.2 | time=0.160s+/-0.010s
Knapsack     | mutationType     = swap       | fitness=1586.000+/-0.000 | gen=10.5/51.5 | time=0.158s+/-0.004s
Knapsack     | elitismNum       = 1          | fitness=1586.000+/-0.000 | gen=14.9/55.9 | time=0.163s+/-0.008s
Knapsack     | elitismNum       = 5          | fitness=1586.000+/-0.000 | gen=13.0/54.0 | time=0.157s+/-0.009s
Knapsack     | elitismNum       = 10         | fitness=1586.000+/-0.000 | gen=11.7/52.7 | time=0.153s+/-0.002s
Knapsack     | elitismNum       = 20         | fitness=1586.000+/-0.000 | gen=12.8/53.8 | time=0.158s+/-0.004s
Knapsack     | generations      = 50         | fitness=1586.000+/-0.000 | gen=12.2/49.7 | time=0.144s+/-0.003s
Knapsack     | generations      = 150        | fitness=1586.000+/-0.000 | gen=13.4/54.4 | time=0.157s+/-0.009s
Knapsack     | generations      = 300        | fitness=1586.000+/-0.000 | gen=13.9/54.9 | time=0.162s+/-0.010s
Knapsack     | generations      = 600        | fitness=1586.000+/-0.000 | gen=13.8/54.8 | time=0.161s+/-0.010s
Knapsack     | patience         = 10         | fitness=1586.000+/-0.000 | gen=13.1/24.1 | time=0.068s+/-0.009s
Knapsack     | patience         = 40         | fitness=1586.000+/-0.000 | gen=12.2/53.2 | time=0.155s+/-0.005s
Knapsack     | patience         = 100        | fitness=1586.000+/-0.000 | gen=13.6/114.6 | time=0.338s+/-0.009s
Knapsack     | patience         = 200        | fitness=1586.000+/-0.000 | gen=14.0/215.0 | time=0.633s+/-0.006s

--- SubsetSum: size growth study ---
SubsetSum    | recursive    | size=   10 | time=0.0039s
SubsetSum    | dpTopDown    | size=   10 | time=0.0003s
SubsetSum    | bottomUp     | size=   10 | time=0.0005s
SubsetSum    | GA           | size=   10 | fitness=1.000 | time=0.041s
SubsetSum    | recursive    | size=   15 | time=0.0004s
